Date,Open,High,Low,Close,Adj Close,Volume
2016-12-27,182.110001,183.699997,182.050003,182.309998,178.796310,828300
2016-12-28,182.639999,183.000000,179.839996,180.190002,176.717194,1403900
2016-12-29,179.699997,180.669998,178.630005,179.869995,176.403351,1367100
2016-12-30,180.369995,180.899994,176.020004,176.770004,173.363113,2542100
2017-01-03,178.289993,180.899994,176.539993,178.339996,174.902847,3209800
2017-01-04,178.259995,179.000000,176.679993,177.070007,173.657318,2396500
2017-01-05,176.330002,177.000000,173.880005,174.279999,170.921097,2486100
2017-01-06,174.210007,176.899994,173.309998,176.589996,173.186569,2314200
2017-01-09,176.649994,178.300003,176.639999,176.970001,173.559265,2026500
2017-01-10,177.490005,180.740005,176.899994,180.570007,177.089890,3018100
2017-01-11,180.050003,180.470001,177.759995,179.419998,175.962036,1878700
2017-01-12,178.089996,179.100006,175.399994,178.860001,175.412827,2313700
2017-01-13,178.899994,180.779999,178.389999,180.449997,176.972168,2090200
2017-01-17,179.479996,179.630005,177.559998,179.110001,175.658020,2628500
2017-01-18,180.360001,185.070007,180.000000,185.020004,181.454117,3564200
2017-01-19,185.100006,186.880005,184.679993,185.559998,181.983688,4571800
2017-01-20,188.600006,191.539993,188.100006,191.080002,187.397308,5762300
2017-01-23,191.009995,191.529999,188.419998,191.000000,187.318848,3339400
2017-01-24,192.720001,199.639999,192.279999,197.750000,193.938766,6200800
2017-01-25,199.919998,202.589996,198.029999,202.479996,198.577576,6088800
2017-01-26,204.440002,205.270004,201.130005,204.169998,200.235016,3882000
2017-01-27,205.380005,205.789993,203.539993,205.710007,201.745361,2578000
2017-01-30,204.449997,204.869995,200.610001,203.220001,199.303329,3323400
2017-01-31,202.470001,202.470001,198.860001,199.500000,195.655029,2674900
2017-02-01,202.250000,204.479996,200.210007,203.690002,199.764282,3118400
2017-02-02,201.970001,205.029999,201.000000,204.050003,200.117340,2271200
2017-02-03,204.949997,206.600006,203.029999,206.160004,202.186661,2436700
2017-02-06,206.149994,206.660004,204.300003,206.559998,202.578964,1871600
2017-02-07,207.210007,207.399994,204.929993,205.910004,201.941483,2284000
2017-02-08,205.970001,208.750000,205.160004,206.889999,202.902588,2106900
2017-02-09,207.330002,207.690002,203.630005,205.339996,201.382477,2751900
2017-02-10,206.000000,206.500000,203.850006,205.520004,201.559006,2384200
